X,Y,fid,interferen,idinventar,idinvent_1,distrito,idinvent_2,fechaplant,alturaprim,alturatota,anchoacera,diametroco,distanciae,distanciaf,edadrelati,elemprotec,espaciodis,estadogene,estructura,fasesdesat,tipoformat,inclinacio,cartodb_id,marcoplant,nivelinter,orografiat,perimetrot,porcentpen,singularid,tipologiaa,tipologiac,tipoaguati,tipodanoti,tipointerf,tiporiegot,tipotutort,vitalidadt,esperanzas,riegotipoe,codigoespe,d_especie_,borrado,ninterno,id_inventa,icon_url
-3.7703912614023,40.3862241744589,"153938",no,"2036070","267413","10",ARB_03-10_0000043734,,1.7,5.5,2,5,PEQUENA,GRANDE,M,,,SANO,ESTRUCTURADO,"7",,"0","152828",,,,73,,,,ALCORQUE,POTABLE,,,PROGRAMABLE,,ALTA,"25",GOTEO,,,"0","43734","2036070",./0.png
-3.76990925189467,40.3858259400187,"154117",no,"2036413","267689","10",ARB_03-10_0000044010,,1.6,5,4,4.5,MEDIANA,GRANDE,M,,,SANO,ESTRUCTURADO,"7",,"0","153008",,,,94,,,,ALCORQUE,POTABLE,,,PROGRAMABLE,,ALTA,"25",GOTEO,,,"0","44010","2036413",./0.png
-3.77370194555566,40.3804068039597,"157772",no,"2042714","269630","10",ARB_03-10_0000045951,,2.6,7,9,8,GRANDE,GRANDE,M,,,SANO,ESTRUCTURADO,"7",,"0","156705",,,,70,,,,ALCORQUE,REGENERADA,,,BASICO,,ALTA,"25",OTROS,,,"0","45951","2042714",./0.png
-3.73380409443496,40.4054928379625,"158752",no,"2045161","270119","10",ARB_03-10_0000046440,,3.5,12,10,6,MUY_PEQUENA,MEDIANA,M,,,ALGO_ENFERMO,ESTRUCTURADO,"7",,"0","157688",,,,99,,,,ALCORQUE,REGENERADA,,,BASICO,,ALTA,"25",OTROS,,,"0","46440","2045161",./0.png
-3.69235890810884,40.4025607766512,"168861",no,"2069877","371511","2",ARB_02-02_0000015893,,1.9,4,3,2,PEQUENA,PEQUENA,NC,,,,ESTRUCTURADO,,,,"167836",,,,17,,,,ALCORQUE,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","15893","2069877",./0.png
-3.82028795335048,40.4732970353084,"201278",no,"2158714","299273","9",ARB_03-09_0000025207,,,,2,,MUY_PEQUENA,GRANDE,J,,,,ESTRUCTURADO,,,,"200572",,,,,,,,ALCORQUE,,,,,,,,,,,"0","25207","2158714",./0.png
-3.82006818164106,40.4732390437693,"201345",no,"2158801","299274","9",ARB_03-09_0000025208,,,,2,,MUY_PEQUENA,GRANDE,J,,,,ESTRUCTURADO,,,,"200640",,,,,,,,ALCORQUE,,,,,,,,,,,"0","25208","2158801",./0.png
-3.67295884625539,40.4103289835399,"211510",no,"2182244","324943","3",ARB_02-03_0000009830,,1,6.5,3,8,MUY_PEQUENA,GRANDE,J,,,SANO,ESTRUCTURADO,,,,"210937",,,,43,,,,ALCORQUE,REGENERADA,,,,,,,OTROS,,,"0","9830","2182244",./0.png
-3.69967761966877,40.4016043253003,"229689",si,,"522257","2",ARB_02-02_0000522257,2019/12/17,,4.5,4,1,MUY_GRANDE,MEDIANA,RC,,,SANO,,,,,"229341",,ALTO,,16,,,,,POTABLE,,EDIFICIOS,,TUTOR_MADERA,,,OTROS,,,"0","522257",,./0.png
-3.71623324822444,40.4053806547307,"229697",no,,"522290","2",ARB_02-02_0000522290,2019/12/17,,4.5,5,1,GRANDE,GRANDE,RC,,SUFICIENTE,SANO,,,,"15","229349","3",,LLANO,16,,,,,POTABLE,,,BASICO,TUTOR_MADERA,,,OTROS,,,"0","522290",,./0.png
